index,team,current_round,seed,score
0,2022 Gonzaga,64,1,93
1,2022 Georgia St.,64,16,72
2,2022 Boise St.,64,8,53
3,2022 Memphis,64,9,64
4,2022 Connecticut,64,5,63
5,2022 New Mexico St.,64,12,70
6,2022 Arkansas,64,4,75
7,2022 Vermont,64,13,71
8,2022 Alabama,64,6,64
9,2022 Notre Dame,64,11,78
10,2022 Texas Tech,64,3,97
11,2022 Montana St.,64,14,62
12,2022 Michigan St.,64,7,74
13,2022 Davidson,64,10,73
14,2022 Duke,64,2,78
15,2022 Cal St. Fullerton,64,15,61
16,2022 Baylor,64,1,85
17,2022 Norfolk St.,64,16,49
18,2022 North Carolina,64,8,95
19,2022 Marquette,64,9,63
20,2022 Saint Mary's,64,5,82
21,2022 Indiana,64,12,53
22,2022 UCLA,64,4,57
23,2022 Akron,64,13,53
24,2022 Texas,64,6,81
25,2022 Virginia Tech,64,11,73
26,2022 Purdue,64,3,78
27,2022 Yale,64,14,56
28,2022 Murray St.,64,7,92
29,2022 San Francisco,64,10,87
30,2022 Kentucky,64,2,79
31,2022 Saint Peter's,64,15,85
32,2022 Arizona,64,1,87
33,2022 Wright St.,64,16,70
34,2022 Seton Hall,64,8,42
35,2022 TCU,64,9,69
36,2022 Houston,64,5,82
37,2022 UAB,64,12,68
38,2022 Illinois,64,4,54
39,2022 Chattanooga,64,13,53
40,2022 Colorado St.,64,6,63
41,2022 Michigan,64,11,75
42,2022 Tennessee,64,3,88
43,2022 Longwood,64,14,56
44,2022 Ohio St.,64,7,54
45,2022 Loyola Chicago,64,10,41
46,2022 Villanova,64,2,80
47,2022 Delaware,64,15,60
48,2022 Kansas,64,1,83
49,2022 Texas Southern,64,16,56
50,2022 San Diego St.,64,8,69
51,2022 Creighton,64,9,72
52,2022 Iowa,64,5,63
53,2022 Richmond,64,12,67
54,2022 Providence,64,4,66
55,2022 South Dakota St.,64,13,57
56,2022 LSU,64,6,54
57,2022 Iowa St.,64,11,59
58,2022 Wisconsin,64,3,67
59,2022 Colgate,64,14,60
60,2022 USC,64,7,66
61,2022 Miami FL,64,10,68
62,2022 Auburn,64,2,80
63,2022 Jacksonville St.,64,15,61
64,2021 Gonzaga,64,1,98
65,2021 Norfolk St.,64,16,55
66,2021 Oklahoma,64,8,72
67,2021 Missouri,64,9,68
68,2021 Creighton,64,5,63
69,2021 UC Santa Barbara,64,12,62
70,2021 Virginia,64,4,58
71,2021 Ohio,64,13,62
72,2021 USC,64,6,72
73,2021 Drake,64,11,56
74,2021 Kansas,64,3,93
75,2021 Eastern Washington,64,14,84
76,2021 Iowa,64,2,86
77,2021 Grand Canyon,64,15,74
78,2021 Michigan,64,1,82
79,2021 Texas Southern,64,16,66
80,2021 LSU,64,8,76
81,2021 St. Bonaventure,64,9,61
82,2021 Colorado,64,5,96
83,2021 Georgetown,64,12,73
84,2021 Florida St.,64,4,64
85,2021 UNC Greensboro,64,13,54
86,2021 BYU,64,6,62
87,2021 UCLA,64,11,73
88,2021 Texas,64,3,52
89,2021 Abilene Christian,64,14,53
90,2021 Connecticut,64,7,54
91,2021 Maryland,64,10,63
92,2021 Alabama,64,2,68
93,2021 Iona,64,15,55
94,2021 Baylor,64,1,79
95,2021 Hartford,64,16,55
96,2021 North Carolina,64,8,62
97,2021 Wisconsin,64,9,85
98,2021 Villanova,64,5,73
99,2021 Winthrop,64,12,63
100,2021 Purdue,64,4,69
101,2021 North Texas,64,13,78
102,2021 Texas Tech,64,6,65
103,2021 Utah St.,64,11,53
104,2021 Arkansas,64,3,85
105,2021 Colgate,64,14,68
106,2021 Florida,64,7,75
107,2021 Virginia Tech,64,10,70
108,2021 Ohio St.,64,2,72
109,2021 Oral Roberts,64,15,75
110,2021 Illinois,64,1,78
111,2021 Drexel,64,16,49
112,2021 Loyola Chicago,64,8,71
113,2021 Georgia Tech,64,9,60
114,2021 Tennessee,64,5,56
115,2021 Oregon St.,64,12,70
116,2021 Oklahoma St.,64,4,69
117,2021 Liberty,64,13,60
118,2021 San Diego St.,64,6,62
119,2021 Syracuse,64,11,78
120,2021 West Virginia,64,3,84
121,2021 Morehead St.,64,14,67
122,2021 Clemson,64,7,56
123,2021 Rutgers,64,10,60
124,2021 Houston,64,2,87
125,2021 Cleveland St.,64,15,56
126,2019 Duke,64,1,85
127,2019 North Dakota St.,64,16,62
128,2019 VCU,64,8,58
129,2019 UCF,64,9,73
130,2019 Mississippi St.,64,5,76
131,2019 Liberty,64,12,80
132,2019 Virginia Tech,64,4,66
133,2019 Saint Louis,64,13,52
134,2019 Maryland,64,6,79
135,2019 Belmont,64,11,77
136,2019 LSU,64,3,79
137,2019 Yale,64,14,74
138,2019 Louisville,64,7,76
139,2019 Minnesota,64,10,86
140,2019 Michigan St.,64,2,76
141,2019 Bradley,64,15,65
142,2019 Gonzaga,64,1,87
143,2019 Fairleigh Dickinson,64,16,49
144,2019 Syracuse,64,8,69
145,2019 Baylor,64,9,78
146,2019 Marquette,64,5,64
147,2019 Murray St.,64,12,83
148,2019 Florida St.,64,4,76
149,2019 Vermont,64,13,69
150,2019 Buffalo,64,6,91
151,2019 Arizona St.,64,11,74
152,2019 Texas Tech,64,3,72
153,2019 Northern Kentucky,64,14,57
154,2019 Nevada,64,7,61
155,2019 Florida,64,10,70
156,2019 Michigan,64,2,74
157,2019 Montana,64,15,55
158,2019 Virginia ,64,1,71
159,2019 Gardner Webb,64,16,56
160,2019 Mississippi,64,8,72
161,2019 Oklahoma,64,9,95
162,2019 Wisconsin,64,5,54
163,2019 Oregon,64,12,72
164,2019 Kansas St.,64,4,64
165,2019 UC Irvine,64,13,70
166,2019 Villanova,64,6,61
167,2019 Saint Mary's,64,11,57
168,2019 Purdue,64,3,61
169,2019 Old Dominion,64,14,48
170,2019 Cincinnati,64,7,72
171,2019 Iowa,64,10,79
172,2019 Tennessee,64,2,77
173,2019 Colgate,64,15,70
174,2019 North Carolina,64,1,88
175,2019 Iona,64,16,73
176,2019 Utah St.,64,8,61
177,2019 Washington,64,9,78
178,2019 Auburn,64,5,78
179,2019 New Mexico St.,64,12,77
180,2019 Kansas,64,4,87
181,2019 Northeastern,64,13,52
182,2019 Iowa St.,64,6,59
183,2019 Ohio St.,64,11,62
184,2019 Houston,64,3,84
185,2019 Georgia St.,64,14,55
186,2019 Wofford,64,7,84
187,2019 Seton Hall,64,10,68
188,2019 Kentucky,64,2,79
189,2019 Abilene Christian,64,15,44
190,2018 Virginia,64,1,54
191,2018 UMBC,64,16,74
192,2018 Creighton,64,8,59
193,2018 Kansas St.,64,9,69
194,2018 Kentucky,64,5,78
195,2018 Davidson,64,12,73
196,2018 Arizona,64,4,68
197,2018 Buffalo,64,13,89
198,2018 Miami FL,64,6,62
199,2018 Loyola Chicago,64,11,64
200,2018 Tennessee,64,3,73
201,2018 Wright St.,64,14,47
202,2018 Nevada,64,7,87
203,2018 Texas,64,10,83
204,2018 Cincinnati,64,2,68
205,2018 Georgia St.,64,15,53
206,2018 Xavier,64,1,102
207,2018 Texas Southern,64,16,83
208,2018 Missouri,64,8,54
209,2018 Florida St.,64,9,67
210,2018 Ohio St.,64,5,81
211,2018 South Dakota St.,64,12,73
212,2018 Gonzaga,64,4,68
213,2018 UNC Greensboro,64,13,64
214,2018 Houston,64,6,67
215,2018 San Diego St.,64,11,65
216,2018 Michigan,64,3,61
217,2018 Montana,64,14,47
218,2018 Texas A&M,64,7,73
219,2018 Providence,64,10,69
220,2018 North Carolina,64,2,84
221,2018 Lipscomb,64,15,66
222,2018 Villanova,64,1,87
223,2018 Radford,64,16,61
224,2018 Virginia Tech,64,8,83
225,2018 Alabama,64,9,86
226,2018 West Virginia,64,5,85
227,2018 Murray St.,64,12,68
228,2018 Wichita St.,64,4,75
229,2018 Marshall,64,13,81
230,2018 Florida,64,6,77
231,2018 St. Bonaventure,64,11,62
232,2018 Texas Tech,64,3,70
233,2018 Stephen F. Austin,64,14,60
234,2018 Arkansas,64,7,62
235,2018 Butler,64,10,79
236,2018 Purdue,64,2,74
237,2018 Cal St. Fullerton,64,15,48
238,2018 Kansas,64,1,76
239,2018 Penn,64,16,60
240,2018 Seton Hall,64,8,94
241,2018 North Carolina St.,64,9,83
242,2018 Clemson,64,5,79
243,2018 New Mexico St.,64,12,68
244,2018 Auburn,64,4,62
245,2018 College of Charleston,64,13,58
246,2018 TCU,64,6,52
247,2018 Syracuse,64,11,57
248,2018 Michigan St.,64,3,82
249,2018 Bucknell,64,14,78
250,2018 Rhode Island,64,7,83
251,2018 Oklahoma,64,10,78
252,2018 Duke,64,2,89
253,2018 Iona,64,15,67
254,2017 Villanova,64,1,76
255,2017 Mount St. Mary's,64,16,56
256,2017 Wisconsin,64,8,84
257,2017 Virginia Tech,64,9,74
258,2017 Virginia,64,5,76
259,2017 UNC Wilmington,64,12,71
260,2017 Florida,64,4,80
261,2017 East Tennessee St.,64,13,65
262,2017 SMU,64,6,65
263,2017 USC,64,11,66
264,2017 Baylor,64,3,91
265,2017 New Mexico St.,64,14,73
266,2017 South Carolina,64,7,93
267,2017 Marquette,64,10,73
268,2017 Duke,64,2,87
269,2017 Troy,64,15,65
270,2017 Gonzaga,64,1,66
271,2017 South Dakota St.,64,16,46
272,2017 Northwestern,64,8,68
273,2017 Vanderbilt,64,9,66
274,2017 Notre Dame,64,5,60
275,2017 Princeton,64,12,58
276,2017 West Virginia,64,4,86
277,2017 Bucknell,64,13,80
278,2017 Maryland,64,6,65
279,2017 Xavier,64,11,76
280,2017 Florida St.,64,3,86
281,2017 Florida Gulf Coast,64,14,80
282,2017 Saint Mary's,64,7,85
283,2017 VCU,64,10,77
284,2017 Arizona,64,2,100
285,2017 North Dakota,64,15,82
286,2017 Kansas,64,1,100
287,2017 UC Davis,64,16,62
288,2017 Miami FL,64,8,58
289,2017 Michigan St.,64,9,78
290,2017 Iowa St.,64,5,84
291,2017 Nevada,64,12,73
292,2017 Purdue,64,4,80
293,2017 Vermont,64,13,70
294,2017 Creighton,64,6,72
295,2017 Rhode Island,64,11,84
296,2017 Oregon,64,3,93
297,2017 Iona,64,14,77
298,2017 Michigan,64,7,92
299,2017 Oklahoma St.,64,10,91
300,2017 Louisville,64,2,78
301,2017 Jacksonville St.,64,15,63
302,2017 North Carolina,64,1,103
303,2017 Texas Southern,64,16,64
304,2017 Arkansas,64,8,77
305,2017 Seton Hall,64,9,71
306,2017 Minnesota,64,5,72
307,2017 Middle Tennessee,64,12,81
308,2017 Butler,64,4,76
309,2017 Winthrop,64,13,64
310,2017 Cincinnati,64,6,75
311,2017 Kansas St.,64,11,61
312,2017 UCLA,64,3,97
313,2017 Kent St.,64,14,80
314,2017 Dayton,64,7,58
315,2017 Wichita St.,64,10,64
316,2017 Kentucky,64,2,79
317,2017 Northern Kentucky,64,15,70
318,2016 Kansas,64,1,105
319,2016 Austin Peay,64,16,79
320,2016 Colorado,64,8,67
321,2016 Connecticut,64,9,74
322,2016 Maryland,64,5,79
323,2016 South Dakota St.,64,12,74
324,2016 California,64,4,66
325,2016 Hawaii,64,13,77
326,2016 Arizona,64,6,55
327,2016 Wichita St.,64,11,65
328,2016 Miami FL,64,3,79
329,2016 Buffalo,64,14,72
330,2016 Iowa,64,7,72
331,2016 Temple,64,10,70
332,2016 Villanova,64,2,86
333,2016 UNC Asheville,64,15,56
334,2016 Oregon,64,1,91
335,2016 Holy Cross,64,16,52
336,2016 Saint Joseph's,64,8,78
337,2016 Cincinnati,64,9,76
338,2016 Baylor,64,5,75
339,2016 Yale,64,12,79
340,2016 Duke,64,4,93
341,2016 UNC Wilmington,64,13,85
342,2016 Texas,64,6,72
343,2016 Northern Iowa,64,11,75
344,2016 Texas A&M,64,3,92
345,2016 Green Bay,64,14,65
