,team,kp_adj_eff,kp_adj_off,kp_adj_def,seed,school,year,tournaments_wins
0,2022 Kansas,25.5,119.4,93.9,1,Kansas,2022,6
1,2022 Arizona,27.2,119.6,92.4,1,Arizona,2022,2
2,2022 Gonzaga,33.0,121.8,88.8,1,Gonzaga,2022,2
3,2022 Baylor,26.3,117.9,91.6,1,Baylor,2022,1
4,2022 Duke,23.7,119.4,95.7,2,Duke,2022,4
5,2022 Villanova,24.1,118.0,93.8,2,Villanova,2022,4
6,2022 Auburn,24.5,113.6,89.1,2,Auburn,2022,1
7,2022 Kentucky,26.6,120.2,93.6,2,Kentucky,2022,0
8,2022 Texas Tech,24.6,109.7,85.1,3,Texas Tech,2022,2
9,2022 Purdue,22.3,121.3,99.0,3,Purdue,2022,2
10,2022 Tennessee,25.2,111.4,86.2,3,Tennessee,2022,1
11,2022 Wisconsin,15.6,110.4,94.8,3,Wisconsin,2022,1
12,2022 Arkansas,19.0,111.1,92.1,4,Arkansas,2022,3
13,2022 Providence,13.9,111.9,98.0,4,Providence,2022,2
14,2022 UCLA,24.8,116.1,91.2,4,UCLA,2022,2
15,2022 Illinois,19.6,113.7,94.1,4,Illinois,2022,1
16,2022 Houston,26.5,117.3,90.9,5,Houston,2022,3
17,2022 Saint Mary's,19.8,109.8,90.0,5,Saint Mary's,2022,1
18,2022 Connecticut,19.3,113.9,94.6,5,Connecticut,2022,0
19,2022 Iowa,23.5,121.5,98.0,5,Iowa,2022,0
20,2022 Texas,20.4,111.8,91.4,6,Texas,2022,1
21,2022 Alabama,17.4,116.1,98.7,6,Alabama,2022,0
22,2022 Colorado St.,15.9,114.2,98.3,6,Colorado St.,2022,0
23,2022 LSU,19.1,107.6,88.6,6,LSU,2022,0
24,2022 Michigan St.,14.9,111.3,96.4,7,Michigan St.,2022,1
25,2022 Murray St.,16.4,111.5,95.1,7,Murray St.,2022,1
26,2022 Ohio St.,15.8,116.6,100.8,7,Ohio St.,2022,1
27,2022 USC,14.4,110.5,96.0,7,USC,2022,0
28,2022 North Carolina,16.0,113.1,97.0,8,North Carolina,2022,5
29,2022 Boise St.,16.4,108.4,92.0,8,Boise St.,2022,0
30,2022 San Diego St.,18.2,104.1,86.0,8,San Diego St.,2022,0
31,2022 Seton Hall,15.0,108.5,93.5,8,Seton Hall,2022,0
32,2022 Creighton,13.5,105.6,92.1,9,Creighton,2022,1
33,2022 Memphis,16.2,110.4,94.1,9,Memphis,2022,1
34,2022 TCU,14.9,108.3,93.4,9,TCU,2022,1
35,2022 Marquette,14.0,109.8,95.8,9,Marquette,2022,0
36,2022 Miami FL,12.6,114.8,102.1,10,Miami FL,2022,3
37,2022 Davidson,14.8,116.8,102.0,10,Davidson,2022,0
38,2022 Loyola Chicago,17.7,110.9,93.2,10,Loyola Chicago,2022,0
39,2022 San Francisco,18.4,110.8,92.4,10,San Francisco,2022,0
40,2022 Iowa St.,13.9,104.4,90.4,11,Iowa St.,2022,2
41,2022 Michigan,15.6,114.2,98.6,11,Michigan,2022,2
42,2022 Notre Dame,13.6,112.0,98.4,11,Notre Dame,2022,1
43,2022 Virginia Tech,17.9,114.3,96.4,11,Virginia Tech,2022,0
45,2022 New Mexico St.,10.1,107.8,97.7,12,New Mexico St.,2022,1
46,2022 Richmond,9.8,109.1,99.3,12,Richmond,2022,1
47,2022 Indiana,14.9,107.6,92.6,12,Indiana,2022,0
48,2022 UAB,14.0,112.5,98.5,12,UAB,2022,0
50,2022 Akron,3.5,106.2,102.7,13,Akron,2022,0
51,2022 Chattanooga,11.3,110.0,98.8,13,Chattanooga,2022,0
52,2022 South Dakota St.,11.4,116.8,105.3,13,South Dakota St.,2022,0
53,2022 Vermont,13.1,110.8,97.7,13,Vermont,2022,0
54,2022 Colgate,4.2,108.3,104.1,14,Colgate,2022,0
55,2022 Longwood,2.5,106.1,103.6,14,Longwood,2022,0
56,2022 Montana St.,3.8,104.5,100.7,14,Montana St.,2022,0
57,2022 Yale,2.2,101.5,99.2,14,Yale,2022,0
58,2022 Saint Peter's,4.3,98.8,94.5,15,Saint Peter's,2022,3
59,2022 Cal St. Fullerton,2.1,104.7,102.6,15,Cal St. Fullerton,2022,0
60,2022 Delaware,2.3,106.8,104.6,15,Delaware,2022,0
61,2022 Jacksonville St.,2.2,105.3,103.1,15,Jacksonville St.,2022,0
62,2022 Georgia St.,1.8,101.5,99.7,16,Georgia St.,2022,0
63,2022 Norfolk St.,0.1,102.4,102.3,16,Norfolk St.,2022,0
